epoch,gaussian_epsilon_prv,gaussian_epsilon_ma,gaussian_epsilon_clt,gaussian_accuracy,product_epsilon,product_accuracy,baseline_accuracy
1,6.642459582,8.091678239,3.115053781,0.294404871,0.053604654,0.297995175,0.099293428
2,7.909656652,9.45726519,4.638383147,0.352895221,0.06206058,0.356008732,0.23638557
3,8.897682031,10.52181319,5.88102241,0.375350414,0.070516506,0.398110064,0.343795956
4,9.746835286,11.46631712,6.976630679,0.40334329,0.078972432,0.412350643,0.371300551
5,10.50888558,12.25016617,7.977575394,0.442957261,0.087428359,0.447110524,0.426568244
6,11.20844619,13.03401521,8.910913233,0.463643153,0.095884285,0.469358915,0.492101333
7,11.86272819,13.7117617,9.792805764,0.458249081,0.104340211,0.489309513,0.481284467
8,12.48190667,14.36413049,10.63382927,0.47706227,0.112796137,0.495105699,0.512017463
9,13.06979206,15.01649927,11.44135665,0.495605469,0.121252064,0.505434283,0.562982537
10,13.63558317,15.63653492,12.22077259,0.505445772,0.12970799,0.521966912,0.576235064
11,14.17828276,16.1875253,12.97615292,0.503469669,0.138163916,0.528498392,0.587804458
12,14.7050389,16.73851568,13.71067159,0.516377528,0.146619842,0.545892693,0.627027803
13,15.21448422,17.28950606,14.42685796,0.530359605,0.155075769,0.551924403,0.636293658
14,15.71056864,17.84049645,15.12676666,0.543405331,0.163531695,0.557444853,0.612879136
15,16.19454585,18.39148683,15.81209391,0.538264017,0.171987621,0.559478401,0.652803309
16,16.6654991,18.86572783,16.48425947,0.556887638,0.180443547,0.558277803,0.666733686
17,17.12908042,19.33660119,17.14446603,0.561695772,0.188899474,0.576349954,0.665337776
18,17.58138718,19.80747455,17.79374303,0.565429688,0.1973554,0.57416705,0.686196002
19,18.02503247,20.27834791,18.4329798,0.56635455,0.205811326,0.592049632,0.6843233
20,18.46252783,20.74922128,19.0629509,0.568324908,0.214267252,0.587810202,0.691009881
21,18.89095023,21.22009464,19.68433589,0.564751838,0.222723179,0.597897518,0.7186983
22,19.31306937,21.690968,20.2977349,0.589005055,0.231179105,0.601832491,0.706652114
23,19.72992598,22.16184137,20.90368105,0.586379825,0.239635031,0.593037684,0.726482077
24,20.13943066,22.5924529,21.50265052,0.596570542,0.248090958,0.608013557,0.728354779
25,20.54345425,22.99857622,22.09507074,0.594347426,0.256546884,0.608662684,0.719743796
26,20.9438755,23.40469954,22.68132707,0.601367188,0.264446628,0.610742188,0.731451057
27,21.33794994,23.81082285,23.26176841,0.605934053,0.271131,0.6125,0.733967142
28,21.72669882,24.21694617,23.83671187,0.606703814,0.277815372,0.60691636,0.759030331
29,22.11326268,24.62306949,24.40644668,0.605807675,0.284499744,0.611632583,0.742865349
30,22.4945278,25.02919281,24.97123749,0.616446461,0.291184116,0.625993796,0.764326746
31,22.87105657,25.43531612,25.53132724,0.610230928,0.297868488,0.61775046,0.750017233
32,23.24451678,25.84143944,26.08693956,0.621179917,0.30455286,0.627102482,0.760345818
33,23.6151152,26.24756276,26.63828084,0.624132583,0.311237232,0.62639591,0.762626379
34,23.98126616,26.65368608,27.18554205,0.6203642,0.317921604,0.629153263,0.771174173
35,24.34358091,27.05980939,27.72890032,0.621863511,0.324605976,0.638344439,0.764751838
