epoch,gaussian_train_accuracy,gaussian_accuracy,product_train_accuracy,product_accuracy,baseline_train_accuracy,baseline_accuracy,gaussian_epsilon_ma,gaussian_epsilon_clt,gaussian_epsilon_prv,product_epsilon
1,0.530747618,0.549374579,0.53514927,0.554169324,0.573256251,0.832647857,7.282491185,2.857789233,5.931892714,0.049393994
2,0.588263952,0.604561303,0.58899761,0.607069004,0.781789535,0.839651792,8.613286386,4.247508861,7.144670288,0.05363926
3,0.634740957,0.640376516,0.637742937,0.64164962,0.832696531,0.844035185,9.63970984,5.37812303,8.095081184,0.057884526
4,0.666470026,0.670808114,0.672543034,0.672684979,0.85999621,0.84719842,10.49988416,6.372982544,8.914221554,0.062129793
5,0.693332301,0.690265059,0.696461974,0.692885571,0.877133171,0.857192133,11.28909614,7.280424401,9.650979871,0.066375059
6,0.71411334,0.703868947,0.716919483,0.711354749,0.886738304,0.862611229,12.0179449,8.125426032,10.32980691,0.070620325
7,0.72774701,0.72434585,0.733354366,0.724737378,0.892852631,0.863615482,12.70596252,8.922908575,10.96499968,0.074865592
8,0.740052675,0.729959148,0.74123602,0.730015854,0.896415335,0.864183638,13.33096845,9.682637431,11.56579218,0.079110858
9,0.750169667,0.738112787,0.753050109,0.738578619,0.897976481,0.865724123,13.95597439,10.41142077,12.13853719,0.083356125
10,0.759080189,0.747454846,0.761386776,0.748119375,0.898440508,0.864508177,14.55749851,11.11423119,12.68784121,0.087601391
11,0.766125728,0.751365458,0.769586945,0.752081729,0.899264927,0.863936754,15.09873034,11.79483284,13.21717824,0.091846657
12,0.771732558,0.754813397,0.775393469,0.759913482,0.899697066,0.863083155,15.63996217,12.45615715,13.72922413,0.096091924
13,0.777435052,0.761146726,0.778024929,0.761883754,0.899916971,0.86255445,16.181194,13.10054032,14.22611517,0.10033719
14,0.782856722,0.76652628,0.78532728,0.767580983,0.899982402,0.863401581,16.72242583,13.72988021,14.70956165,0.104582456
15,0.785690301,0.761059035,0.785875831,0.769823956,0.899912309,0.863101656,17.21237776,14.34574366,15.18099405,0.108827723
16,0.790252274,0.76934609,0.792484136,0.771409319,0.899976084,0.863011107,17.68476087,14.94944223,15.6415906,0.113072989
17,0.793253935,0.772913458,0.794812189,0.775118978,0.899992028,0.863605994,18.15714398,15.54208697,16.0923555,0.117318255
18,0.796796334,0.77099177,0.798178149,0.773810827,0.9,0.863458137,18.62952709,16.12462896,16.53413856,0.121563522
19,0.799278679,0.773259561,0.799990674,0.77831377,0.9,0.863476488,19.1019102,16.69788984,16.96767842,0.125808788
20,0.802690154,0.776779548,0.803665226,0.778088299,0.9,0.863402032,19.57429331,17.26258526,17.39361498,0.130054055
21,0.804811979,0.779555437,0.80538497,0.78134792,0.9,0.86356809,20.04323728,17.8193431,17.81251441,0.134299321
22,0.806647677,0.780864339,0.807046292,0.783229448,0.9,0.863664053,20.45806981,18.36871788,18.22486824,0.138544587
23,0.809384326,0.785728425,0.809620111,0.786668963,0.9,0.86327749,20.87290235,18.91120223,18.63111608,0.142789854
24,0.810963823,0.782896131,0.811798501,0.786574804,0.9,0.863515595,21.28773488,19.44723619,19.03165094,0.14703512
25,0.812628755,0.785325917,0.81385646,0.78709298,0.9,0.863058939,21.70256742,19.97721471,19.4268276,0.151280386
26,0.815955083,0.790185792,0.816296749,0.79038163,0.9,0.863315996,22.11739996,20.50149393,19.81695695,0.155525653
27,0.817750349,0.789728834,0.821910866,0.792004146,0.9,0.863271172,22.53223249,21.02039628,20.20232901,0.159770919
28,0.819801695,0.791596825,0.820692132,0.792553156,0.9,0.863172501,22.94706503,21.53421484,20.58320492,0.164016185
29,0.820525637,0.791306827,0.820971498,0.79573772,0.9,0.863475735,23.36189756,22.0432169,20.95982171,0.168261452
30,0.822384602,0.793803848,0.825230367,0.795081164,0.9,0.863096091,23.7767301,22.54764708,21.33239315,0.172506718
31,0.825139284,0.794967451,0.827940981,0.795274897,0.9,0.862902809,24.19087243,23.0477299,21.70112403,0.176751985
32,0.825397093,0.796112552,0.82668449,0.796400595,0.9,0.86287423,24.5568524,23.54367206,22.06619533,0.180997251
33,0.826592884,0.792145685,0.829221444,0.797309696,0.9,0.863094737,24.92283237,24.03566432,22.42777537,0.185242517
34,0.827599689,0.797489592,0.829116529,0.798701025,0.9,0.863223642,25.28881234,24.52388322,22.78602076,0.189487784
35,0.830780257,0.795915811,0.831818687,0.798407417,0.9,0.863051267,25.65479232,25.00849248,23.14107666,0.19373305
36,0.830621421,0.794528844,0.830833531,0.796817542,0.9,0.863041641,26.02077229,25.4896443,23.49307783,0.197978316
37,0.832355994,0.796352161,0.832392242,0.797233587,0.9,0.863121661,26.38675226,25.96748043,23.84214967,0.202223583
38,0.832305154,0.799819654,0.833206146,0.80018155,0.9,0.862949286,26.75273223,26.44213318,24.18840951,0.206468849
39,0.833830803,0.796008465,0.835566573,0.799825069,0.9,0.862998773,27.11871221,26.91372628,24.53196884,0.210714116
40,0.834391464,0.797948504,0.835572596,0.798941688,0.9,0.862912736,27.48469218,27.38237562,24.87292755,0.214959382
41,0.83645327,0.801269043,0.839118025,0.802033747,0.9,0.862898447,27.85067215,27.84818994,25.21138067,0.219204648
42,0.836946477,0.802036454,0.840580866,0.803106349,0.9,0.862971849,28.21665212,28.31127142,25.5474227,0.223449915
43,0.838391002,0.802431141,0.839015571,0.802623971,0.9,0.862820382,28.5826321,28.77171626,25.88113564,0.227695181
44,0.837209552,0.802920437,0.83910958,0.803689955,0.9,0.862985837,28.94861207,29.2296151,26.21259952,0.231940447
45,0.838629609,0.799801905,0.840271987,0.801255355,0.9,0.862909728,29.31459204,29.68505352,26.54189273,0.236185714
46,0.84040329,0.802909607,0.841812929,0.804026882,0.9,0.862859941,29.68057201,30.13811239,26.86908335,0.24043098
47,0.841237336,0.80169336,0.84179728,0.805044583,0.9,0.862770896,30.02647754,30.58886824,27.19424124,0.244676246
48,0.841380482,0.804609586,0.842843756,0.805435509,0.9,0.863002082,30.35040913,31.03739356,27.5174304,0.248921513
49,0.84186381,0.800433192,0.844902991,0.804983816,0.9,0.862735398,30.67434072,31.48375713,27.83870878,0.253166779
50,0.842909784,0.803737937,0.842995073,0.80692957,0.9,0.862957559,30.99827231,31.92802424,28.15813863,0.257412046
51,0.844732805,0.802290052,0.847701428,0.806708763,0.9,0.862801129,31.3222039,32.37025697,28.47577201,0.261657312
52,0.844896131,0.802814997,0.845017238,0.806772538,0.9,0.862531437,31.64613549,32.81051438,28.79166001,0.265902578
53,0.846174372,0.803876769,0.846884237,0.805218612,0.9,0.862927326,31.97006708,33.24885272,29.10585416,0.270147845
54,0.847081519,0.805147466,0.848375461,0.807930425,0.9,0.862426147,32.29399867,33.68532563,29.41840249,0.274393111
55,0.847546448,0.803934528,0.848222725,0.806888508,0.9,0.862775558,32.61793026,34.11998426,29.72934898,0.278638377
56,0.848878965,0.805367672,0.849085967,0.807513176,0.9,0.862572951,32.94186185,34.55287749,30.03873635,0.282883644
57,0.848442313,0.802355633,0.849416507,0.807763014,0.9,0.862552344,33.26579344,34.98405203,30.3466062,0.28712891
58,0.847947903,0.806659577,0.850877314,0.8097566,0.9,0.862738707,33.58972502,35.41355256,30.65299803,0.291374176
59,0.849458961,0.807255969,0.85053256,0.810208594,0.9,0.862853924,33.91365661,35.84142186,30.95794969,0.295619443
