epoch,gaussian_train_accuracy,gaussian_accuracy,product_train_accuracy,product_accuracy,baseline_train_accuracy,baseline_accuracy,gaussian_epsilon_ma,gaussian_epsilon_clt,gaussian_epsilon_prv,product_epsilon
1,0.518002831,0.75106,0.52042254,0.76446,0.782121394,0.96336,0.492109811,0.191200811,0.229847947,0.050373705
2,0.789775862,0.82828,0.793688387,0.8326,0.967504674,0.97398,0.534168994,0.278945905,0.317683619,0.055598683
3,0.843553244,0.86852,0.844880427,0.86864,0.977757746,0.98232,0.576228177,0.347872483,0.386787059,0.06082366
4,0.868869602,0.88566,0.869976109,0.88734,0.982665598,0.98378,0.608734649,0.406883439,0.445974599,0.066048638
5,0.884666889,0.89768,0.885503257,0.89804,0.9849793,0.98608,0.640453965,0.459484907,0.498738733,0.071273616
6,0.895209887,0.9064,0.8963865,0.9064,0.987246261,0.98712,0.672173281,0.507494699,0.546896012,0.076498593
7,0.901684024,0.91258,0.90353627,0.913,0.988341346,0.98768,0.703892597,0.552001554,0.591536566,0.081723571
8,0.907785859,0.91752,0.908442282,0.91778,0.989590011,0.98822,0.735611913,0.59371953,0.633376242,0.086948549
9,0.912657276,0.92026,0.913683408,0.92082,0.990591613,0.98892,0.767331229,0.633147353,0.672915401,0.092173526
10,0.917292774,0.92456,0.917503933,0.92574,0.99163328,0.99008,0.799050545,0.670649869,0.71052031,0.097398504
11,0.919937636,0.92784,0.920029478,0.92818,0.992200855,0.98922,0.83076986,0.706503651,0.746468718,0.102623482
12,0.923006619,0.93028,0.923556857,0.9308,0.992975427,0.9888,0.862489176,0.740924366,0.780977276,0.10784846
13,0.926254985,0.93236,0.926264266,0.9335,0.993449519,0.9898,0.894208492,0.774084094,0.814218871,0.113073437
14,0.92878067,0.93538,0.929274026,0.93546,0.994097222,0.99036,0.925927808,0.806122781,0.846334143,0.118298415
15,0.930847912,0.93602,0.931058333,0.93726,0.994394364,0.99006,0.957647124,0.83715608,0.877439321,0.123523393
16,0.932020579,0.93728,0.932365502,0.93848,0.995098825,0.9904,0.98936644,0.867280896,0.907631784,0.12874837
17,0.934273601,0.93916,0.934591935,0.94122,0.995415999,0.99028,1.021085756,0.896579393,0.936994133,0.133973348
18,0.935497919,0.94152,0.93595312,0.9419,0.995890091,0.99074,1.051014494,0.925121962,0.965597103,0.139198326
19,0.936483039,0.9427,0.937264243,0.94404,0.996123798,0.9893,1.080618044,0.952969466,0.993501879,0.144423303
20,0.938667428,0.94408,0.939431542,0.94458,0.996491052,0.9907,1.110221594,0.980174956,1.020761769,0.149648281
21,0.938899698,0.94524,0.940092404,0.9459,0.99664797,0.991,1.139720791,1.006785013,1.047423611,0.154873259
22,0.940499934,0.94586,0.941075408,0.94634,0.997088675,0.9912,1.16733003,1.032840801,1.073528765,0.160098237
23,0.9418148,0.9467,0.94187147,0.94728,0.997375801,0.98996,1.194939268,1.058378919,1.099114022,0.165323214
24,0.942207055,0.94768,0.94324289,0.94896,0.997773104,0.99056,1.222548506,1.083432075,1.124212254,0.1701937
25,0.944152761,0.94844,0.944745173,0.94866,0.997753072,0.98988,1.249469657,1.108029647,1.148852979,0.173507898
26,0.944292342,0.94924,0.944445611,0.94976,0.998093616,0.99128,1.275108552,1.132198143,1.173062843,0.176822096
27,0.945613574,0.95064,0.946314432,0.95084,0.998193777,0.99058,1.300747448,1.155961574,1.196865992,0.180136293
28,0.946529308,0.95048,0.947127749,0.9513,0.998524306,0.9909,1.326386343,1.179341777,1.220284343,0.183450491
29,0.946035181,0.95142,0.94751299,0.95176,0.998617788,0.9905,1.352025239,1.202358681,1.243337937,0.186764689
